,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(-0.11970718997348612, -0.19099802773956218)","(-1.3231807947158813, 0.9012137651443481)",,,True
0,"(-0.1318488621283069, 0.11375345396044044)","(1.9934965372085571, 0.25726547837257385)",,,True
0,"(-0.07069484482561303, 0.15035244643141674)","(1.9894651174545288, -0.2381744384765625)",,,True
0,"(0.07577943929667018, 0.060357212443699376)","(0.9638633728027344, -1.201078176498413)",,,True
0,"(0.03170410564871291, 0.0444617872426099)","(1.413212537765503, -0.8447437286376953)",,,True
0,"(-0.17092309416328777, 0.20196959122198233)","(2.0035672187805176, -0.0954311266541481)",,,True
0,"(0.01496872037491214, -0.08611145441846414)","(-1.9618403911590576, 0.3417847752571106)",,,True
0,"(-0.08365149938880528, 0.06676833549718654)","(1.9430668354034424, 0.6125999689102173)",,,True
0,"(0.0737757945149402, -0.08585700915385823)","(-0.8021170496940613, -2.684814929962158)",,,False
0,"(0.046591943177736656, 0.02378364736439996)","(0.8540078997612, -1.2907911539077759)",,,False
0,"(0.23123657592612706, 0.02433197557179778)","(-1.0571073293685913, -2.622790813446045)",,,True
0,"(-0.010683146189092219, 0.0697258373445672)","(1.9746042490005493, -0.3065788745880127)",,,True
0,"(-0.027616763533001926, 0.018175503649789895)","(0.49613437056541443, 0.615648627281189)",,,False
0,"(-0.08849230499027988, -0.08990237929749458)","(-1.099532961845398, 1.069347620010376)",,,True
0,"(0.020608362872907734, -0.139679557792299)","(-1.9299243688583374, 0.41622233390808105)",,,True
0,"(0.05247904271209019, 0.1359856060227414)","(1.6319942474365234, -0.7020657658576965)",,,True
0,"(-0.10517163121364269, -0.12273074593007119)","(-1.1866745948791504, 1.007842779159546)",,,True
0,"(-0.10675550563484809, 0.11676394526094676)","(2.006958246231079, 0.1272113025188446)",,,True
0,"(-0.033477940123344145, -0.11845650367583993)","(-1.723142385482788, 0.6374125480651855)",,,True
0,"(-0.06446985187758501, -0.15569072940135956)","(-1.5826075077056885, 0.7318943738937378)",,,True
0,"(-0.059491963546064154, 0.0008943589096317185)","(0.15910190343856812, 2.323108196258545)",,,False
0,"(-0.16997544431306744, -0.17955854407247251)","(-1.0104697942733765, 1.1454155445098877)",,,True
0,"(-0.07817923184759074, 0.04180821103050016)","(0.23182635009288788, 2.390928268432617)",,,False
0,"(0.12211730659920741, 0.08003005746764402)","(0.5538297891616821, -1.5907528400421143)",,,True
0,"(-0.23048634529405101, 0.04691367957979212)","(1.3847997188568115, 2.2745723724365234)",,,False
0,"(-0.05163745646593207, -0.11578214072113568)","(-1.594740867614746, 0.7193643450737)",,,True
0,"(-0.1443369167976129, -0.020214198399577978)","(0.21150687336921692, 2.368758201599121)",,,False
0,"(0.05110708944511749, -0.03734006195747127)","(-1.8505979776382446, -1.0719503164291382)",,,True
0,"(-0.16113456628887055, -0.10161544126031885)","(-0.46398377418518066, 1.6780534982681274)",,,True
0,"(0.00880311329210479, 0.1380177467722319)","(1.8584372997283936, -0.5191440582275391)",,,True
0,"(-0.01923771441612046, -0.15912151249391046)","(-1.8056647777557373, 0.5755996704101562)",,,True
0,"(-0.00046150715945393237, 0.12479287508892001)","(1.888227105140686, -0.4833580553531647)",,,True
0,"(-0.11709081608464217, -0.02574057618119841)","(0.1344626098871231, 2.299341917037964)",,,True
0,"(-0.1334650515319139, 0.07474083703106627)","(1.9200531244277954, 0.7744512557983398)",,,True
0,"(-0.19400278955269784, -0.16208219699349477)","(-0.7275072932243347, 1.3927322626113892)",,,True
0,"(0.007861176992105243, -0.0641170628590042)","(-1.9684295654296875, 0.3293229937553406)",,,True
0,"(-0.1063385648969743, -0.05373415058582181)","(-0.2833370268344879, 1.8659824132919312)",,,True
0,"(-0.12074497422000313, -0.09115220180497263)","(-0.7060961127281189, 1.4301137924194336)",,,True
0,"(0.15169693675528964, -0.08496994588327633)","(-0.9946779012680054, -2.618255138397217)",,,False
0,"(-0.12774886665400237, 0.06483365078163777)","(0.6902798414230347, 2.6720051765441895)",,,False
0,"(-0.03453713701984443, -0.011186113474101221)","(-0.9024101495742798, 1.2462055683135986)",,,False
0,"(-0.0435656652581264, 0.0465878710188871)","(1.964250922203064, 0.4923916459083557)",,,True
0,"(-0.03382236887326934, 0.031107760953145398)","(-0.7244462966918945, 0.9854119420051575)",,,False
0,"(-0.13897959175402805, -0.018490974715411043)","(0.14772482216358185, 2.3060462474823)",,,False
0,"(-0.072036263575581, -0.10995475469379495)","(-1.3814760446548462, 0.862623393535614)",,,True
0,"(0.302233724478267, 0.19229675873406146)","(0.3518418073654175, -1.8108024597167969)",,,True
0,"(-0.10844755355007066, 0.016226668470557447)","(1.3985813856124878, 2.272529125213623)",,,True
0,"(0.009015059838013024, 0.06459953758872775)","(1.8113768100738525, -0.5552360415458679)",,,True
0,"(0.07249069108625618, -0.0057678908025352036)","(-0.12196912616491318, -2.291166305541992)",,,False
0,"(-0.18589635129470322, 0.08218984418365442)","(1.8960729837417603, 0.9176018834114075)",,,True
0,"(-0.13322907634995348, 0.15709254756535088)","(2.0131359100341797, -0.029702836647629738)",,,True
