,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(-0.40895994825867826, -0.36076539763639204)","(0.0004333980323281139, -0.011012527160346508)","(0.0, 0.0)",unstable,False
0,"(-0.13405191634967667, 0.2183384670014038)","(-0.009823057800531387, -0.008204856887459755)","(0.0, 0.0)",unstable,False
0,"(-0.506347001154194, -1.0628338880399857)","(0.04233544319868088, 0.021950140595436096)","(0.0, 0.0)",unstable,False
0,"(1.4672786295471933, -0.20711383158821267)","(1.9939744472503662, 0.318712055683136)",,,True
0,"(1.5212462180799056, -0.27770113710196104)","(1.989431619644165, 0.3536840081214905)",,,True
0,"(0.5224004875831055, 1.2436649305137981)","(-0.38921982049942017, 1.7654482126235962)",,,True
0,"(0.3936946036263013, -0.44095331457427606)","(0.02313132770359516, 0.0209063608199358)","(0.0, 0.0)",unstable,False
0,"(-0.2224660553082376, -0.5807880195407678)","(0.016166003420948982, 0.007866205647587776)","(0.0, 0.0)",unstable,False
0,"(2.0036347323580364, -0.22122222227802393)","(-0.04435982555150986, -0.025178339332342148)","(0.0, 0.0)",unstable,False
0,"(-0.5088112996190888, -0.6523051302185169)","(0.016343971714377403, 0.010989218950271606)","(0.0, 0.0)",unstable,False
0,"(0.010813690038473925, 0.8547015109217416)","(-0.030453581362962723, -0.018948974087834358)","(0.0, 0.0)",unstable,False
0,"(1.029381589046179, -0.9017449939057306)","(1.1855204105377197, 2.089879274368286)",,,False
0,"(-0.6485460177781315, 0.1766343947796352)","(-0.013133784756064415, -0.014760931022465229)","(0.0, 0.0)",unstable,False
0,"(-0.7456016607602075, -0.7144110754545043)","(0.030170047655701637, 0.008950075134634972)","(0.0, 0.0)",unstable,False
0,"(1.2034120648745894, -0.8073724936762917)","(0.9390687942504883, 2.3133742809295654)",,,False
0,"(-2.0914708716842787, -1.324258108876915)","(0.46328678727149963, 0.6093674898147583)",,,False
0,"(-2.088046822269474, -0.4813032578667878)","(0.09377193450927734, 0.05579710006713867)","(0.0, 0.0)",unstable,False
0,"(-0.03493825079637168, -0.5489810329628181)","(0.02370482310652733, 0.011749185621738434)","(0.0, 0.0)",unstable,False
0,"(1.4515801066216305, 0.3325102373374553)","(-0.023446697741746902, -0.00756788719445467)","(0.0, 0.0)",unstable,False
0,"(0.5766206052585363, 0.43166906614949824)","(-0.003970597870647907, 0.007629435509443283)","(0.0, 0.0)",unstable,False
0,"(-0.2970719114353827, 0.0450127870082388)","(-0.915246844291687, -2.688807249069214)",,,False
0,"(-0.6378155849050214, -0.6810693072771065)","(-0.5000704526901245, -2.5626072883605957)",,,True
0,"(-1.2579945601404485, 0.554587391671567)","(-1.9461898803710938, 0.3741021156311035)",,,True
0,"(-0.555578700555958, -1.2319207249767237)","(0.23972821235656738, 0.19220209121704102)",,,False
0,"(0.4670324686365401, 0.02443294373266628)","(0.4907146394252777, 2.574687957763672)",,,False
0,"(0.6658704537517567, 0.20815160219818124)","(1.9892537593841553, 0.32527559995651245)",,,True
0,"(0.599829030032308, -0.21812204671312757)","(1.843836784362793, -0.5476425290107727)",,,True
0,"(-0.10531962005138673, 0.5845879264141384)","(-0.023884018883109093, -0.014047722332179546)","(0.0, 0.0)",unstable,False
0,"(-0.36939633772109304, -0.10664484422142476)","(-1.7022587060928345, -1.6769359111785889)",,,False
